name,title,agency,acronym,division_path,phone,phone_2,division_phone,fax,address,city,state,zip,section,vacant,name_source,other_source_name
Athina McBean,"Deputy Commissioner, Equal Employment Opportunity & Access Community & Engagement",Human Resources Administration / Department of Social Services,HRA DSS,"DSS Office of Diversity, Equity and Inclusion",(929) 221-5139,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Amy Lebowitz,"Director, Public Relations",Campaign Finance Board,CFB,,(212) 409-1771,,,,100 Church St.,New York,NY,10007,City,,Green Book,
"Jill Krauss MPA, MPH",Chief of Staff,"Health & Mental Hygiene, Department of",DOHMH,,(347) 396-4067,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
(vacant),"Deputy Commissioner, Strategic Initiatives",Probation,DOP,,(212) 510-3720,,,,33 Beaver St.,New York,NY,10004,City,yes,Green Book,
Bethania Ortega,"Vice President, Administration & Finance",City University of New York,CUNY,Senior Colleges > Herbert H. Lehman College,(718) 960-8539,,(718) 960-8000,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Darisa Cruz,Acting Bronx Borough Commissioner,Transportation,DOT,Office of the First Deputy Commissioner > Borough Commissioners,(212) 748-6680,,,,55 Water St.,New York,NY,10041,City,,Green Book,
Ahmed Tigani,Commissioner,Buildings,DOB,,(212) 393-2001,,,,280 Broadway,New York,NY,10007,City,,Green Book,
Paul Miano,Chief of EMS Operations,Fire Department,FDNY,,(718) 999-2770,,,,9 MetroTech Center,Brooklyn,NY,11201,City,,Green Book,
(vacant),Chief Fire Marshal,Fire Department,FDNY,Bureau of Fire Investigation,,,(718) 722-3600,,9 MetroTech Center,Brooklyn,NY,11201,City,yes,Green Book,
Gina Ugarte,"Deputy Commissioner, Finance",Buildings,DOB,Finance,(212) 393-2681,,,,280 Broadway,New York,NY,10007,City,,Green Book,
Jorge Silva Puras,"Provost & Senior Vice President, Academic Affairs & Student Success",City University of New York,CUNY,Senior Colleges > Herbert H. Lehman College,(718) 960-8222,,(718) 960-8000,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Yusef Salaam,Member of City Council,City Council,NYCC,Members of the Council > Borough of Manhattan > 9th Council District,,,(212) 788-7397,,250 Broadway,New York,NY,10007,City,,Green Book,
Richard Glave,Chief Technology Officer (CTO),Buildings,DOB,Information Technology,(212) 393-2078,,,,280 Broadway,New York,NY,10007,City,,Green Book,
Susan Zhuang,Member of City Council,City Council,NYCC,Members of the Council > Borough of Brooklyn > 43rd Council District,,,(212) 788-7045,,250 Broadway,New York,NY,10007,City,,Green Book,
Chris Banks,Member of City Council,City Council,NYCC,Members of the Council > Borough of Brooklyn > 42nd Council District,,,(212) 788-6957,,250 Broadway,New York,NY,10007,City,,Green Book,
Hilary J. Gingold,Surrogate,New York State Surrogate's Court - New York County,,,,,,,31 Chambers St.,New York,NY,10007,Courts,,Green Book,
Peter S. Torre,General Counsel,Borough President - Manhattan,,,(212) 669-8168,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Charin Winker,Director Deputy,"Management & Budget, Office of",OMB,,(212) 788-5800,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Rochelle Cohen,Chief,"Law Department, Office of the Corporation Counsel",LAW,Tax and Bankruptcy Litigation,(212) 356-4062,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Jeffrey Werner,General Counsel,"Management & Budget, Office of",OMB,,(212) 788-5800,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Joseph Pilewski,"Deputy Commissioner, General Support Services",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Operations,(929) 252-2795,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Rachel Kaufman,Chief,"Law Department, Office of the Corporation Counsel",LAW,E-Discovery,(212) 356-4096,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Teddy Gordon Martin,Deputy Director,"Management & Budget, Office of",OMB,,(212) 788-5800,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Sanna Wong-Chen,Associate Director,"Management & Budget, Office of",OMB,,(212) 788-5800,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Michael McClenathan,Associate Director,"Management & Budget, Office of",OMB,,(212) 788-5800,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Michael Chimowitz,Associate Director,"Management & Budget, Office of",OMB,,(212) 788-5800,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Minden Koopmans,Chief of Staff,Brooklyn Navy Yard Development Corporation,,,(929) 337-1206,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Roslyn Windholz JD,Deputy General Counsel and Secretary to the Board of Health,"Health & Mental Hygiene, Department of",DOHMH,Office of the General Counsel,(347) 396-6080,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
William E. Schaeffer,Vice President & Inspector General,"School Construction Authority, NYC",SCA,,(718) 901-6600,,,,30-30 Thomson Ave.,Long Island City,NY,11101,City,,Green Book,
Eric Rivera,"Special Assistant, Equity and Inclusion Officer","Aging, Department for the",,Executive,(212) 602-7760,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Jeffrey M. Werner,Secretary,"Water Finance Authority, NYC Municipal",,,(212) 788-6298,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Nakisha Evans,"Senior Vice President, Workforce Development",Brooklyn Navy Yard Development Corporation,,,(718) 907-5942,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Caspar Barrow,"Executive Director, Budget & Finance/Chief Financial Officer",Investigation,DOI,Operations Division,(212) 825-0666,,,,180 Maiden Lane,New York,NY,10038,City,,Green Book,
(vacant),"Director, Community Affairs",Transportation,DOT,Office of the First Deputy Commissioner > Division of Bridges,(212) 839-6302,,,,55 Water St.,New York,NY,10041,City,yes,Green Book,
(vacant),Assistant Commissioner / Property Tax Research & Analytics,Finance,DOF,Tax Policy & Data Analytics,(212) 291-2973,,,,59 Maiden Ln.,New York,NY,10038,City,yes,Green Book,
Jocelyn Strauber,Acting Commissioner,Investigation,DOI,,(212) 825-2403,,,,180 Maiden Lane,New York,NY,10038,City,,governance dataset,Christopher Ryan
Thierry Paret,"Vice President, Architecture & Engineering","School Construction Authority, NYC",SCA,,(718) 472-8526,,,,30-30 Thomson Ave.,Long Island City,NY,11101,City,,Green Book,
Jeffrey M. Werner,Secretary and General Counsel,"Transitional Finance Authority, NYC",TFA,,(212) 788-6298,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Marah Rhoades,Deputy Commissioner,Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Strategy > Community Outreach,(929) 221-7204,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Rhonda Gaskins,"Director, Records, Data & Information",Campaign Finance Board,CFB,,(212) 409-1791,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Daphne Colon,"Director, Support &amp; Logistics",Campaign Finance Board,CFB,,(212) 409-1811,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Vincent Fabrizi,"Director, Infrastructure",Campaign Finance Board,CFB,,(212) 409-1721,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Crystal Choy,"Director, Product Management & Operations",Campaign Finance Board,CFB,,(212) 409-1792,,,,100 Church St.,New York,NY,10007,City,,Green Book,
(vacant),"Associate Commissioner, Adult Operations",Probation,DOP,Adult Operations,(212) 510-3755,,,,33 Beaver St.,New York,NY,10004,City,yes,Green Book,
Carlos Obando,"Assistant Executive Director, Finance & Operations",Campaign Finance Board,CFB,,(212) 409-1868,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Ruslan Gendelman,"Director, Software Development",Campaign Finance Board,CFB,,(212) 409-1725,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Michele Archbald,"ACCO, Agency Chief Contracting Officer",Campaign Finance Board,CFB,,(212) 409-1870,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Montgomery Dean,Acting Deputy Commissioner,Transportation,DOT,Office of the First Deputy Commissioner > Division of Traffic Operations,(212) 839-3350,,,(212) 839-1906,55 Water St.,New York,NY,10041,City,,Green Book,
Violet Fredericks,Chief of Staff,Probation,DOP,,(212) 510-3715,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Philip Hung,"Deputy Commissioner, Chief Compliance and Privacy Officer, Equal Employment Opportunity Officer",Investigation,DOI,,(212) 825-2848,,,,180 Maiden Lane,New York,NY,10038,City,,Green Book,
Jerry Cifuentes,Senior Operations Analyst,Campaign Finance Board,CFB,,(212) 409-1800,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Justin Brown,"Director, Finance",Campaign Finance Board,CFB,,(212) 409-1869,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Shawn Crawford,"Director, Project Management Office",Campaign Finance Board,CFB,,(212) 409-1735,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Steven Payne,Director,Borough Historical Societies,,The Bronx County Historical Society,,,(718) 881-8900,,3309 Bainbridge Ave.,Bronx,NY,10467,City,,Green Book,
